mah_id,mah_name,ilce_name,current_score,future_potential_score,predicted_score_5y,score_change_5y,future_class,growth_built_growth,growth_ntl_growth,growth_poi_vitality,growth_accessibility,growth_pop_dynamics,growth_urban_form,risk_flood_risk,risk_noise_risk,risk_heat_risk,risk_low_green,risk_overcrowding
alanya_saray,SARAY,Alanya,94.4804990483361,95.07,95.0,0.52,Yuksek Potansiyel,82.79,90.02,98.25,96.93,42.11,96.93,84.21,97.59,48.79,95.83,95.72
alanya_seki,SEKİ,Alanya,18.40394736834984,76.75,23.75,5.35,Yuksek Potansiyel,59.1,55.92,68.09,57.79,76.54,65.79,48.9,68.75,21.05,35.2,54.17
alanya_sogukpinar,SOĞUKPINAR,Alanya,28.4240258095992,65.35,31.49,3.07,Orta Potansiyel,66.78,60.86,52.96,46.38,1.54,31.58,21.6,17.65,25.44,27.08,71.93
alanya_sugozu,SUGÖZÜ,Alanya,88.45228720148415,98.79,95.0,6.55,Yuksek Potansiyel,87.83,87.72,79.61,81.8,54.28,83.22,36.84,78.18,39.25,56.58,80.92
alanya_tasbasi,TAŞBAŞI,Alanya,8.699267498625598,9.76,4.68,-4.02,Risk Altinda,45.29,9.32,33.22,3.51,13.27,0.11,3.62,41.45,7.13,77.08,33.55
alanya_tepe,TEPE,Alanya,27.771522879309003,93.53,36.48,8.71,Yuksek Potansiyel,47.37,71.05,65.9,64.36,82.13,66.12,3.18,65.68,4.61,17.87,45.39
alanya_tirilar,TIRILAR,Alanya,11.647553743478332,66.34,14.92,3.27,Orta Potansiyel,4.61,77.85,59.32,48.14,99.45,42.0,32.13,56.36,42.21,9.87,4.39
alanya_tophane,TOPHANE,Alanya,48.68035172036443,88.93,56.47,7.79,Yuksek Potansiyel,58.44,57.79,89.14,84.21,71.71,87.28,41.89,81.8,27.52,44.96,67.76
alanya_toslak,TOSLAK,Alanya,36.3239473680954,68.75,40.07,3.75,Orta Potansiyel,81.58,73.46,53.07,46.16,4.93,53.29,39.8,51.97,46.82,48.03,75.22
alanya_tosmur,TOSMUR,Alanya,66.8799043047749,98.14,76.51,9.63,Yuksek Potansiyel,93.53,97.92,87.06,84.87,37.17,82.24,67.54,85.96,38.05,79.71,90.24
alanya_turkler,TÜRKLER,Alanya,50.4520334919184,78.84,56.22,5.77,Yuksek Potansiyel,80.26,71.82,71.05,68.75,9.32,68.2,54.93,71.05,37.5,48.68,71.71
alanya_turktas,TÜRKTAŞ,Alanya,22.60729788383978,61.51,24.91,2.3,Orta Potansiyel,35.64,33.77,51.54,44.74,76.97,22.37,2.85,17.65,10.86,7.89,32.13
alanya_uzunoz,UZUNÖZ,Alanya,20.790626695563304,55.26,21.84,1.05,Orta Potansiyel,6.91,50.0,41.78,36.07,99.23,22.04,5.81,17.65,3.07,29.71,5.15
alanya_ugrak,UĞRAK,Alanya,24.719614541070246,76.43,30.0,5.29,Yuksek Potansiyel,70.83,68.53,54.39,54.06,10.53,55.7,21.16,58.88,17.98,31.58,51.54
alanya_yalci,YALÇI,Alanya,13.78373123527659,23.46,11.13,-2.65,Risk Altinda,19.3,3.73,50.11,44.19,31.03,24.67,16.23,41.89,2.08,19.3,24.12
alanya_yasirali,YASİRALİ,Alanya,10.794289202365272,74.78,15.75,4.96,Yuksek Potansiyel,37.06,56.14,46.6,42.54,83.11,41.56,1.75,17.65,7.24,13.38,22.48
